Table with row headers in column A and column headers in rows 4 through 5.,,,,,,,,,,,,,,,,
"Table 4a.  Reported Voting and Registration of the Citizen Voting-Age Population, for States: November 2016",,,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,,
STATE,Total Population,Total Citizen Population,Registered,,,,,Voted,,,,,,,,
SOUTH CAROLINA,"3,733","3,598","2,575",69.0,2.5,71.6,2.4,"2,233",59.8,2.6,62.1,2.6,,,,
SOUTH DAKOTA,631,612,437,69.3,2.7,71.4,2.7,362,57.3,2.9,59.1,2.9,,,,
TENNESSEE,"5,057","4,872","3,251",64.3,2.2,66.7,2.2,"2,630",52.0,2.3,54.0,2.3,,,,
TEXAS,"20,172","17,378","11,724",58.1,1.2,67.5,1.2,"9,626",47.7,1.2,55.4,1.3,,,,
UTAH,"2,096","1,969","1,398",66.7,2.3,71.0,2.2,"1,234",58.9,2.4,62.7,2.4,,,,
VERMONT,500,488,351,70.2,2.8,71.9,2.8,305,61.0,3.0,62.5,3.0,,,,
VIRGINIA,"6,343","5,829","4,399",69.4,1.9,75.5,1.9,"3,973",62.6,2.0,68.2,2.0,,,,
WASHINGTON,"5,592","5,104","3,906",69.9,2.0,76.5,2.0,"3,382",60.5,2.2,66.3,2.2,,,,
WEST VIRGINIA,"1,434","1,425",913,63.6,2.8,64.1,2.8,723,50.4,2.9,50.8,2.9,,,,
WISCONSIN,"4,465","4,354","3,323",74.4,2.2,76.3,2.1,"3,068",68.7,2.3,70.5,2.3,,,,
WYOMING,436,427,304,69.7,2.7,71.1,2.7,277,63.5,2.8,64.8,2.8,,,,
,,,,,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey,November 2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
